name,pop2012,pop12_sqmi,white,black,ameri_es,asian,hawn_pi,hispanic,other,mult_race,males,females,med_age,households,families,hse_units,ave_fam_sz,vacant,owner_occ,renter_occ,county_fips
Kern,851089,104.282869868,499766,48921,12676,34846,1252,413033,204314,37856,433108,406523,30.7,254610,191739,284367,3.61,29757,152828,101782,06103
Kings,155039,111.427421499,83027,11014,2562,5620,271,77866,42996,7492,86344,66638,31.1,41233,31939,43867,3.59,2634,22329,18904,06089
Lake,65253,49.0823341808,52033,1232,2049,724,108,11088,5455,3064,32469,32196,45,26548,16255,35492,2.94,8944,17472,9076,06106
Lassen,35039,7.42285644074,25532,2834,1234,356,165,6117,3562,1212,22416,12479,37,10058,6800,12710,2.98,2652,6590,3468,06086
Los Angeles,9904341,2423.2641497,4936599,856874,72828,1346865,26094,4687889,2140632,438713,4839654,4978951,34.8,3241204,2194080,3445076,3.58,203872,1544749,1696455,06073
Madera,153025,71.0656716002,94456,5629,4136,2802,162,80992,37380,6300,72682,78183,33.1,43317,34093,49140,3.63,5823,27726,15591,06102
Marin,255509,486.100488937,201963,6987,1523,13761,509,39069,16973,10693,124072,128337,44.5,103210,62653,111214,2.94,8004,64637,38573,06066
Mariposa,18455,12.6138872371,16103,138,527,204,26,1676,508,745,9269,8982,49.2,7693,4948,10188,2.77,2495,5227,2466,06111
Mendocino,88094,25.0830701947,67218,622,4277,1450,119,19505,10185,3970,43983,43858,41.6,34945,21591,40323,3.02,5378,20601,14344,06100
Merced,256841,129.897433823,148381,9926,3473,18836,583,140485,62665,11929,128737,127056,29.6,75642,58767,83698,3.74,8056,41196,34446,06099
Modoc,9791,2.32927160006,8084,82,370,78,21,1342,680,371,4878,4808,46,4064,2611,5192,2.8,1128,2786,1278,06108
Mono,14418,4.60477148606,11697,47,302,192,11,3762,1539,414,7548,6654,37.2,5768,3415,13912,2.98,8144,3228,2540,06067
Monterey,420465,126.859299666,230717,12785,5464,25258,2071,230003,117405,21357,213431,201626,33,125946,90472,139048,3.66,13102,64077,61869,06070
Napa,135855,172.308609406,97525,2668,1058,9223,372,44010,20058,5580,68159,68325,39.7,48876,33053,54759,3.23,5883,30597,18279,06064
Nevada,99951,102.564339367,90233,389,1044,1187,110,8439,2678,3123,48835,49929,47.5,41527,27254,52590,2.8,11063,29890,11637,06094
Orange,3054269,3822.42315779,1830758,50744,18132,537804,9354,1012973,435641,127799,1488780,1521452,36.2,992781,708491,1048907,3.47,56126,588313,404468,06059
Placer,356116,237.083491448,290977,4751,3011,20435,778,44710,13375,15105,170151,178281,40.3,132627,93536,152648,3.07,20021,94223,38404,06078
Plumas,20000,7.6532174126,17797,192,539,134,18,1605,603,724,10003,10004,49.5,8977,5661,15566,2.68,6589,6235,2742,06112
Riverside,2227789,305.044946359,1335147,140543,23710,130468,6874,995257,448235,104664,1089576,1100065,33.7,686260,510241,800707,3.61,114447,462212,224048,06063
Sacramento,1432457,1441.21961526,815151,147058,14308,203211,13858,306196,131691,93511,694793,723995,34.8,513945,338982,555932,3.31,41987,295482,218463,06101
San Benito,56501,40.6347539663,35181,483,895,1443,94,31186,14471,2702,27629,27640,34.3,16805,13436,17870,3.61,1065,10927,5878,06085
San Bernardino,2062041,102.560224335,1153161,181862,22689,128603,6870,1001145,439661,102364,1011507,1023703,31.7,611618,470440,699637,3.68,88019,383573,228045,06071
San Diego,3137431,740.583699011,1981442,158213,26340,336091,15337,991348,419465,158425,1553679,1541634,34.7,1086865,720480,1164786,3.31,77921,591025,495840,06072
San Francisco,824334,17398.3537358,390387,48870,4024,267915,3359,121774,53021,37659,408462,396773,38.5,345811,151029,376942,3.11,31131,123646,222165,06115
San Joaquin,688477,482.643869131,349287,51744,7196,98472,3758,266341,131054,43795,341230,344076,32.7,215007,161057,233755,3.59,18748,127270,87737,06088
San Luis Obispo,271619,81.815416127,222756,5550,2536,8507,389,55973,19786,10113,137999,131638,39.4,102016,63691,117315,2.97,15299,60920,41096,06080
San Mateo,726677,1591.21704476,383535,20436,3306,178118,10317,182502,84529,38210,353168,365283,39.2,257837,175607,271031,3.28,13194,153110,104727,06065
Santa Barbara,423800,154.042992461,295124,8513,5485,20665,806,181687,73860,19442,212786,211109,33.7,142104,91600,152834,3.39,10730,74827,67277,06075
Santa Clara,1819137,1401.0713268,836616,46428,12960,570524,7060,479210,220806,87248,893851,887791,36.2,604204,426824,631920,3.39,27716,348298,255906,06060
Santa Cruz,262470,587.522943994,190208,2766,2253,11112,349,84092,43376,12318,130913,131469,36.8,94355,57770,104476,3.22,10121,54229,40126,06087
Shasta,178831,46.4805169151,153726,1548,4950,4391,271,14878,4501,7836,87130,90093,41.8,70346,46981,77313,2.94,6967,45277,25069,06105
Sierra,3226,3.35329092345,3022,6,44,12,2,269,75,79,1646,1594,51,1482,926,2328,2.67,846,1065,417,06113
Siskiyou,45200,7.12089130873,38030,571,1814,540,80,4615,1491,2374,22395,22505,46.8,19505,12065,23910,2.82,4405,12629,6876,06076
Solano,418187,470.0050576,210751,60750,3212,60473,3564,99356,43236,31358,206195,207149,36.9,141758,101989,152698,3.3,10940,89648,52110,06116
Alameda,1534551,2062.40222563,649122,190451,9799,394560,12802,339889,162540,90997,740573,769698,36.6,545138,352423,582549,3.3,37411,291242,253896,06068
Alpine,1148,1.54384077461,881,0,240,7,0,84,19,28,606,569,46.4,497,297,1760,2.92,1263,357,140,06114
Sonoma,487061,306.323819826,371412,7610,6489,18341,1558,120430,56966,21502,237902,245976,39.8,185825,117114,204572,3.11,18747,112280,73545,06091
Amador,38354,63.2883403188,33149,962,678,419,77,4756,1450,1356,20749,17342,48.2,14569,9793,18032,2.75,3463,10883,3686,06098
Stanislaus,518549,342.538841621,337342,14721,5902,26090,3401,215658,99210,27787,254489,259964,32.9,165180,124032,179503,3.52,14323,99364,65816,06081
Sutter,95619,157.125955139,57749,1919,1365,13663,281,27251,14463,5297,47001,47736,34.6,31437,23243,33858,3.46,2421,19212,12225,06077
Butte,222350,132.55475671,180096,3415,4395,9057,452,31116,12141,10444,108931,111069,37.1,87618,52529,95835,2.99,8217,50991,36627,06074
Calaveras,46212,44.5829393945,40522,383,689,571,79,4703,1534,1800,22822,22756,49.1,18886,13039,27925,2.81,9039,14520,4366,06097
Tehama,63757,21.5233118293,51721,406,1644,656,76,13906,6258,2702,31610,31853,39.5,23767,16642,26987,3.09,3220,15363,8404,06107
Colusa,21780,18.8339876515,13854,195,419,281,68,11804,5838,764,11012,10407,33.5,7056,5286,7883,3.5,827,4318,2738,06090
Trinity,14063,4.38428851568,12033,59,655,94,16,959,217,712,7113,6673,49.2,6083,3620,8681,2.73,2598,4284,1799,06095
Tulare,448724,92.7380120778,265618,7196,6993,15176,509,268065,128263,18424,221442,220737,29.6,130352,102856,141696,3.74,11344,76586,53766,06093
Contra Costa,1067570,1405.32606692,614512,97161,6122,151469,4845,255560,112691,62225,511526,537499,38.4,375364,265280,400263,3.26,24899,251904,123460,06069
Del Norte,28685,28.2981640968,21098,993,2244,965,32,5093,1980,1298,15907,12703,39,9907,6379,11186,3.05,1279,6114,3793,06109
Tuolumne,55331,24.3049729193,48274,1143,1039,572,76,5918,2238,2023,29245,26120,47.1,22156,14278,31244,2.77,9088,15471,6685,06096
Ventura,825977,444.788665651,565804,15163,8068,55446,1643,331567,140253,36941,408969,414349,36.2,266920,197178,281695,3.47,14775,174168,92752,06061
El Dorado,182494,102.156839695,156793,1409,2070,6297,294,21875,7278,6917,90571,90487,43.5,70223,49718,88159,2.99,17936,51391,18832,06092
Yolo,204322,199.657989368,126883,5208,2214,26052,910,60953,27882,11700,97935,102914,30.5,70872,44101,75054,3.26,4182,37416,33456,06062
Fresno,944788,157.172587608,515145,49523,15649,89357,1405,468070,217085,42286,464811,465639,30.7,289391,214445,315531,3.63,26140,158691,130700,06083
Glenn,28516,21.4887492276,19990,231,619,722,24,10539,5522,1014,14191,13931,35.3,9800,7114,10778,3.32,978,6100,3700,06084
Yuba,72822,113.153192349,49332,2361,1675,4862,293,18051,8545,5087,36352,35803,32.2,24307,17548,27635,3.39,3328,14468,9839,06104
Humboldt,136375,38.0621050751,109920,1505,7726,2944,352,13211,5003,7173,67595,67028,37.3,56031,31079,61559,2.91,5528,30820,25211,06082
Imperial,178091,39.7445596745,102553,5773,3059,2843,165,140271,52413,7722,89646,84882,32,49126,39170,56067,3.76,6941,27465,21661,06079
Inyo,18611,1.81977295617,13741,109,2121,243,16,3597,1676,640,9354,9192,45.5,8049,4833,9478,2.88,1429,5121,2928,06110
